,0
148,https://www.yelp.com/biz/old-skool-cafe-san-francisco?osq=Restaurants
149,https://www.yelp.com/biz/little-delhi-san-francisco?osq=Restaurants
150,https://www.yelp.com/biz/purple-rice-san-francisco?osq=Restaurants
151,https://www.yelp.com/biz/myriad-gastropub-san-francisco?osq=Restaurants
152,https://www.yelp.com/biz/khamsa-san-francisco?osq=Restaurants
153,https://www.yelp.com/biz/ragazza-san-francisco?osq=Restaurants
154,https://www.yelp.com/biz/alegrias-san-francisco?osq=Restaurants
155,https://www.yelp.com/biz/bacco-san-francisco?osq=Restaurants
156,https://www.yelp.com/biz/dumpling-time-san-francisco?osq=Restaurants
157,https://www.yelp.com/biz/fondue-cowboy-san-francisco?osq=Restaurants
158,https://www.yelp.com/biz/blind-butcher-san-francisco-2?osq=Restaurants
159,https://www.yelp.com/biz/bella-trattoria-san-francisco?osq=Restaurants
160,https://www.yelp.com/biz/top-sf-bbq-san-francisco?osq=Restaurants
161,https://www.yelp.com/biz/maven-san-francisco?osq=Restaurants
162,https://www.yelp.com/biz/mozzeria-san-francisco?osq=Restaurants
163,https://www.yelp.com/biz/mensho-tokyo-san-francisco-2?osq=Restaurants
164,https://www.yelp.com/biz/cha-cha-cha-san-francisco-4?osq=Restaurants
165,https://www.yelp.com/biz/cuisine-of-nepal-san-francisco?osq=Restaurants
166,https://www.yelp.com/biz/zero-zero-san-francisco?osq=Restaurants
167,https://www.yelp.com/biz/hog-island-oyster-co-san-francisco?osq=Restaurants
168,https://www.yelp.com/biz/rooftop-25-san-francisco-2?osq=Restaurants
169,https://www.yelp.com/biz/souvla-san-francisco-3?osq=Restaurants
170,https://www.yelp.com/biz/the-monks-kettle-san-francisco?osq=Restaurants
171,https://www.yelp.com/biz/lers-ros-san-francisco-2?osq=Restaurants
172,https://www.yelp.com/biz/paina-lounge-and-restaurant-san-francisco?osq=Restaurants
173,https://www.yelp.com/biz/nopalito-san-francisco-3?osq=Restaurants
174,https://www.yelp.com/biz/mangrove-kitchen-san-francisco?osq=Restaurants
175,https://www.yelp.com/biz/orenchi-beyond-san-francisco-6?osq=Restaurants
176,https://www.yelp.com/biz/lupa-trattoria-san-francisco?osq=Restaurants
177,https://www.yelp.com/biz/berber-san-francisco-4?osq=Restaurants
178,https://www.yelp.com/biz/paprika-san-francisco?osq=Restaurants
179,https://www.yelp.com/biz/nopalito-san-francisco?osq=Restaurants
180,https://www.yelp.com/biz/tacorea-san-francisco?osq=Restaurants
181,https://www.yelp.com/biz/zazang-korean-noodles-san-francisco?osq=Restaurants
182,https://www.yelp.com/biz/marugame-udon-san-francisco-4?osq=Restaurants
183,https://www.yelp.com/biz/cafe-europa-san-francisco?osq=Restaurants
184,https://www.yelp.com/biz/dragon-beaux-san-francisco?osq=Restaurants
185,https://www.yelp.com/biz/halu-san-francisco?osq=Restaurants
186,https://www.yelp.com/biz/leopolds-san-francisco-2?osq=Restaurants
187,https://www.yelp.com/biz/marnee-thai-san-francisco-2?osq=Restaurants
188,https://www.yelp.com/biz/b-star-bar-san-francisco?osq=Restaurants
189,https://www.yelp.com/biz/m-y-china-san-francisco-2?osq=Restaurants
190,https://www.yelp.com/biz/blackwood-san-francisco-3?osq=Restaurants
191,https://www.yelp.com/biz/chubby-noodle-san-francisco-3?osq=Restaurants
192,https://www.yelp.com/biz/serpentine-san-francisco?osq=Restaurants
193,https://www.yelp.com/biz/osteria-bella-san-francisco-2?osq=Restaurants
194,https://www.yelp.com/biz/izakaya-sozai-san-francisco?osq=Restaurants
195,https://www.yelp.com/biz/roma-antica-san-francisco-3?osq=Restaurants
196,https://www.yelp.com/biz/hogwash-san-francisco?osq=Restaurants
197,https://www.yelp.com/biz/the-codmother-fish-and-chips-san-francisco-3?osq=Restaurants
198,https://www.yelp.com/biz/hops-and-hominy-san-francisco?osq=Restaurants
199,https://www.yelp.com/biz/the-crew-san-francisco?osq=Restaurants
200,https://www.yelp.com/biz/se%C3%B1or-sisig-restaurant-san-francisco?osq=Restaurants
201,https://www.yelp.com/biz/pink-onion-san-francisco?osq=Restaurants
202,https://www.yelp.com/biz/el-mansour-san-francisco?osq=Restaurants
203,https://www.yelp.com/biz/willkommen-san-francisco-3?osq=Restaurants
204,https://www.yelp.com/biz/mission-street-oyster-bar-and-seafood-restaurant-san-francisco?osq=Restaurants
205,https://www.yelp.com/biz/pizzetta-211-san-francisco?osq=Restaurants
206,https://www.yelp.com/biz/bask-san-francisco-2?osq=Restaurants
207,https://www.yelp.com/biz/hook-fish-san-francisco-5?osq=Restaurants
208,https://www.yelp.com/biz/marrakech-magic-theater-san-francisco-5?osq=Restaurants
209,https://www.yelp.com/biz/boiling-hot-pot-san-francisco?osq=Restaurants
210,https://www.yelp.com/biz/prubechu-san-francisco?osq=Restaurants
211,https://www.yelp.com/biz/the-house-san-francisco?osq=Restaurants
212,https://www.yelp.com/biz/scomas-restaurant-san-francisco-3?osq=Restaurants
213,https://www.yelp.com/biz/liholiho-yacht-club-san-francisco-2?osq=Restaurants
214,https://www.yelp.com/biz/nopa-san-francisco?osq=Restaurants
215,https://www.yelp.com/biz/dosa-on-fillmore-san-francisco-3?osq=Restaurants
216,https://www.yelp.com/biz/kokkari-estiatorio-san-francisco?osq=Restaurants
217,https://www.yelp.com/biz/lolinda-san-francisco?osq=Restaurants
218,https://www.yelp.com/biz/house-of-prime-rib-san-francisco?osq=Restaurants
219,https://www.yelp.com/biz/coqueta-san-francisco?osq=Restaurants
220,https://www.yelp.com/biz/zuni-caf%C3%A9-san-francisco-3?osq=Restaurants
221,https://www.yelp.com/biz/wayfare-tavern-san-francisco-2?osq=Restaurants
222,https://www.yelp.com/biz/thanh-long-san-francisco?osq=Restaurants
223,https://www.yelp.com/biz/la-mar-cebicher%C3%ADa-peruana-san-francisco-4?osq=Restaurants
224,https://www.yelp.com/biz/la-ciccia-san-francisco?osq=Restaurants
225,https://www.yelp.com/biz/delfina-san-francisco?osq=Restaurants
226,https://www.yelp.com/biz/anchor-oyster-bar-san-francisco?osq=Restaurants
227,https://www.yelp.com/biz/cockscomb-san-francisco?osq=Restaurants
228,https://www.yelp.com/biz/bluestem-brasserie-san-francisco?osq=Restaurants
229,https://www.yelp.com/biz/state-bird-provisions-san-francisco?osq=Restaurants
230,https://www.yelp.com/biz/kitchen-istanbul-san-francisco?osq=Restaurants
231,https://www.yelp.com/biz/asiasf-san-francisco?osq=Restaurants
232,https://www.yelp.com/biz/firefly-restaurant-san-francisco-4?osq=Restaurants
233,https://www.yelp.com/biz/bellota-san-francisco?osq=Restaurants
234,https://www.yelp.com/biz/sutros-at-the-cliff-house-san-francisco?osq=Restaurants
235,https://www.yelp.com/biz/5a5-steak-lounge-san-francisco-4?osq=Restaurants
236,https://www.yelp.com/biz/cotogna-san-francisco?osq=Restaurants
